"pseudo_id","Date","Total.ST.min","Social.ST.min","Pickups","is_weekday","Daily_Prop_Social_ST","Daily_Duration_Per_Use","Treatment","workmate","X2: academic talk","non-academic","pets","sex","age","cousre credit","country degree","job","siblings","apps","devices","procrastination score","team","BMI","compliance","is_intervention"
6419,2024-03-27,31,5,23,1,0.161290322580645,1.34782608695652,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,1,1
6419,2024-03-28,26,13,45,1,0.5,0.577777777777778,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,1,1
6419,2024-03-29,124,51,78,1,0.411290322580645,1.58974358974359,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,1,1
6419,2024-03-30,43,9,11,1,0.209302325581395,3.90909090909091,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,1,1
6419,2024-03-31,31,19,6,0,0.612903225806452,5.16666666666667,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,1,1
6419,2024-04-01,147,93,76,0,0.63265306122449,1.93421052631579,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,1,1
6419,2024-04-02,17,3,3,1,0.176470588235294,5.66666666666667,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,1,1
3128,2024-01-01,453,196,157,0,0.432671081677704,2.88535031847134,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-02,413,190,173,1,0.460048426150121,2.38728323699422,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-03,405,167,15,1,0.412345679012346,27,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-04,212,54,107,1,0.254716981132075,1.98130841121495,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-05,401,111,174,1,0.276807980049875,2.30459770114943,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-06,338,238,145,1,0.70414201183432,2.33103448275862,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-07,475,246,222,0,0.517894736842105,2.13963963963964,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-08,500,250,155,0,0.5,3.2258064516129,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-09,582,221,178,1,0.379725085910653,3.26966292134831,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-10,377,227,100,1,0.602122015915119,3.77,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-11,446,165,117,1,0.369955156950673,3.81196581196581,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-12,439,243,63,1,0.553530751708428,6.96825396825397,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-13,542,254,66,1,0.468634686346863,8.21212121212121,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-14,603,292,43,0,0.48424543946932,14.0232558139535,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-15,652,330,59,0,0.506134969325153,11.0508474576271,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
3128,2024-01-16,614,293,119,1,0.477198697068404,5.15966386554622,"A",2,2,2,"0","1",23,14.5,0,0,0,4,5,45,"04W04",NA,NA,0
